id,origin_error_mm,rotation_error_deg,corner_rms_mm,split,sample_index,pnp_rms_px,distance_m,center_depth_m,board_tilt_deg,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,base_error_x_mm,base_error_y_mm,base_error_z_mm
sample_0000,1.221028267533831,0.12174511702653742,1.2397418658226353,train,0,0.18841854519792336,0.21217693310142802,0.2120922874581913,15.065494052365093,-2.99,56.144000000000005,-52.854,-2.041,43.843,-0.9329999999999999,0.14514268943188746,-0.4344739057460384,-1.1318463036326665
sample_0001,1.069733659106541,0.26849248435966566,0.915864106400218,train,1,0.19279973257062022,0.2123248664416116,0.21191439452724375,15.034493010114115,-1.036,56.144000000000005,-52.854,-2.041,43.843,-0.9329999999999999,0.1697197457743438,-0.11741942404273897,-1.0496370745058659
sample_0002,1.9562771298162023,0.4039364144620267,1.746695965654856,train,2,0.186872304819139,0.21349718159966535,0.2114815431572268,15.087150750794095,2.0600000000000005,56.144000000000005,-52.854,-2.041,43.843,-0.9329999999999999,0.5059863167408696,1.633089197325091,-0.950798469441877
sample_0003,1.541336128291832,0.13439360756238744,1.705047354217183,train,3,0.19163742328615993,0.21237198768715723,0.21202634174751075,15.033374000503903,-4.853,56.144000000000005,-52.854,-2.041,43.843,-0.9329999999999999,-0.03552549947571926,-1.0142305951162944,-1.1600824536190102
sample_0004,2.022081277671019,0.2183058068608726,2.281826705174546,holdout,4,0.2109751161335519,0.2131039729437404,0.21190678438535143,15.001578669369563,-6.792,56.144000000000005,-52.854,-2.041,43.843,-0.9329999999999999,-0.1968217406108641,-1.5592272703738446,-1.2723538089906838
sample_0005,2.331349923067664,0.23598253250057682,2.537898656251065,train,5,0.20511993389735464,0.20164883706618242,0.20034768425903235,12.933589662758926,-6.792,58.1,-52.854,-2.041,43.843,-0.9329999999999999,-0.16507802632331758,-1.681016039439473,-1.6068997430331577
sample_0006,2.151407295879224,0.2932015553484404,2.4267878347813743,train,6,0.17698924605474925,0.2244718728094364,0.22341427171347847,17.043558753615468,-6.792,54.141999999999996,-52.854,-2.041,43.843,-0.9329999999999999,-0.3947118812642203,-2.0003365968461475,-0.686592588708318
sample_0007,2.4815167840768746,0.37245712479826815,2.7826645154514944,train,7,0.19247791666992528,0.2255100433134342,0.22306200919531302,17.019811233867994,-8.724,54.141999999999996,-52.854,-2.041,43.843,-0.9329999999999999,-0.5406964823064242,-2.3052260878423656,-0.7426341950164117
sample_0008,3.472544242446946,0.47919558545266605,3.8519704695731356,train,8,0.23113390667905045,0.22709330947158526,0.22278780176520754,16.95982565958693,-10.686,54.141999999999996,-52.854,-2.041,43.843,-0.9329999999999999,-0.7716731718842573,-3.2356961718678496,-0.9966716183905655
sample_0009,0.7183978281594475,0.26376560657567083,0.9812995214656904,holdout,9,0.20310090640270506,0.22344342363748024,0.22328199914727145,17.11158341598365,-1.7799999999999998,54.141999999999996,-52.854,-2.041,43.843,-0.9329999999999999,-0.10532471019403244,-0.6793005766046328,-0.2086932474982539
sample_0010,0.8153165537542244,0.4091081093539264,1.160666048281573,train,10,0.1991053862391316,0.22377679890809463,0.22310556581229557,17.362380067154895,-1.7799999999999998,54.141999999999996,-52.854,0.0,43.843,-0.9329999999999999,-0.28229423838033174,-0.726420146605844,-0.23950953302129263
sample_0011,2.9543344448503417,0.8378993166792683,3.69346082698258,train,11,0.19172970365442288,0.2251483911438078,0.22124920708690937,18.90174990857577,-1.7799999999999998,54.141999999999996,-52.854,4.95,43.843,-0.9329999999999999,-0.8557127129409925,-2.8261950619675043,-0.09202845565822737
sample_0012,1.8836739752480396,0.4214072000319444,2.233240192350144,train,12,0.18014572110684005,0.2228708526149732,0.22125672214725745,17.860701389691457,-1.7799999999999998,54.141999999999996,-52.854,-9.003,43.843,-0.9329999999999999,0.5176559929111479,1.6455251418572985,-0.7566418740364844
sample_0013,3.6329074646920096,0.7483335297549056,4.3466014494079275,train,13,0.1809873878128667,0.22309289341856342,0.21827574393855306,19.437660872841242,-1.7799999999999998,54.141999999999996,-52.854,-12.941,43.843,-0.9329999999999999,0.5326860368131126,3.3032710215379764,-1.4151546881760735
sample_0014,3.0022475717543595,0.4646817412539117,3.209680282633141,holdout,14,0.1715466876368439,0.22373106686394983,0.2234547460554493,17.232164384391606,-1.7799999999999998,54.141999999999996,-52.854,-5.962,43.843,4.103000000000001,0.6338475206351668,2.8674330978953195,-0.6241435986886756
sample_0015,3.983826874801578,0.5872515216246267,4.305980503080564,train,15,0.2101623324264184,0.22429672355173919,0.22406174939422258,17.428135905480964,-1.7799999999999998,54.141999999999996,-52.854,-5.962,43.843,7.042,1.125045653651291,3.792343433515269,-0.47252526690672036
sample_0016,0.8343644034014203,0.13287101717271363,0.9219394151913025,train,16,0.17806228901609925,0.22194198894171438,0.2214814779762241,17.66812068471442,-1.7799999999999998,54.141999999999996,-52.854,-5.962,43.843,-6.1160000000000005,-0.11952100814821565,-0.7543214750853899,-0.33597291334219737
sample_0017,2.613934388735008,0.4421791839434395,2.824727384239073,train,17,0.17648825289222667,0.22099875998546245,0.22042719762810706,18.510980674442745,-1.7799999999999998,54.141999999999996,-52.854,-5.962,43.843,-11.178,-0.43021183060493184,-2.5780513260106748,0.034958974149956745
sample_0018,2.062271770393195,0.29858550208157036,2.1996485997596005,train,18,0.20332164489430252,0.21860254457293218,0.2178052315440003,15.175562884855703,-1.7799999999999998,54.141999999999996,-52.854,-5.962,45.841,0.8679999999999999,0.5362673199554857,1.9615841658291306,-0.34288449494965234
sample_0019,2.2518170203860826,0.33033698411666246,2.394440656217125,holdout,19,0.20688338320188432,0.21421320035292896,0.21238819878771428,13.17421016208733,-1.7799999999999998,54.141999999999996,-52.854,-5.962,47.800000000000004,0.8679999999999999,0.9340445713324486,2.04893798070592,0.009684177073254752
sample_0020,1.7611261413197556,0.2802900965871415,1.9027204755541631,train,20,0.19100803433515232,0.22548759567510954,0.22518820895636857,18.20204605563615,-1.7799999999999998,54.141999999999996,-52.854,-5.962,42.866,0.8679999999999999,0.007254808673640145,1.584016868643956,-0.7696773435942605
sample_0021,1.653723045564616,0.15400263222795932,1.7688176338547357,train,21,0.17271952459488338,0.25341973790143885,0.2528803059315268,23.19802644097948,-1.7799999999999998,49.181,-52.854,-5.962,42.85,0.8679999999999999,-0.2844031277886572,1.217446176799003,1.0824692046118578
sample_0022,2.5614364693817935,0.22554786750615172,2.81793898852513,train,22,0.18364553705156744,0.2418142088839374,0.24066280783912644,18.13199963123818,-1.7799999999999998,49.181,-52.854,-5.962,47.79,0.8679999999999999,0.5217579594098964,1.7130234959145256,1.8314682418530404
sample_0023,5.749737947087734,0.7844500626033301,6.39834505994815,train,23,0.17526997445596723,0.24363812454926723,0.242907008865542,18.91463286268466,-1.7799999999999998,49.181,-52.854,-5.962,47.79,10.867,1.5301253330812226,5.255020470643871,1.7615228577448627
sample_0024,3.9508668352682643,0.5028895728688407,4.4082443486116585,holdout,24,0.18565765061367742,0.24277936914394999,0.24185357500227322,18.332778728091025,-1.7799999999999998,49.181,-52.854,-5.962,47.79,5.877,1.0048034413966955,3.401602235009432,1.740350835021165
sample_0025,1.803084552497794,0.07138259483267681,1.6933631626436543,train,25,0.18135184717902827,0.2410668828927047,0.23971636062567647,18.471790601639626,-1.7799999999999998,49.181,-52.854,-5.962,47.79,-4.127,-0.0725316238042173,-0.15602383830783106,1.7948564368450715
sample_0026,2.768617914247184,0.3234962169013546,2.774364710374898,train,26,0.190353168163393,0.24021453150662864,0.23864044135595672,19.150198353244253,-1.7799999999999998,49.181,-52.854,-5.962,47.79,-9.043,-0.5479103138465446,-1.9548943550425495,1.8823994006835487
sample_0027,4.441006699015152,0.601884118933862,4.572346596277781,train,27,0.1809091314076727,0.23930381546758137,0.23747574124336185,20.16531049909783,-1.7799999999999998,49.181,-52.854,-5.962,47.79,-14.104999999999999,-0.7730583539823921,-3.7497617220074444,2.250379592469515
sample_0028,2.5692572619282172,0.31280301323101856,2.518532758256413,train,28,0.17722765515798994,0.2703965491049036,0.2697860965485389,23.430488813307836,-1.7799999999999998,44.218,-52.854,-5.962,47.79,0.886,-0.3183135856913988,1.42874677386233,2.1115023076741233
sample_0029,3.2566160768589265,0.48644957326490584,3.1483135406637555,holdout,29,0.23337210540090128,0.18564970575300163,0.18312565293955485,8.14063010981661,-1.7799999999999998,59.164,-52.854,-5.962,47.79,0.886,1.2615083287240147,2.512380138708803,-1.6438038347800221
